Berita,Like,Provokasi,Komentar,Emosi,Hoax
B4001,14,55,68,45,?
B4002,18,76,72,74,?
B4003,36,68,68,69,?
B4004,18,43,45,56,?
B4005,18,62,71,45,?
B4006,36,67,56,61,?
B4007,10,55,71,61,?
B4008,13,40,51,72,?
B4009,35,36,73,61,?
B4010,10,62,64,71,?
B4011,34,85,54,72,?
B4012,11,76,74,70,?
B4013,18,31,53,77,?
B4014,17,53,62,64,?
B4015,12,55,54,62,?
B4016,36,85,74,73,?
B4017,31,81,44,62,?
B4018,11,40,75,70,?
B4019,18,57,58,64,?
B4020,12,22,70,79,?
B4021,32,47,44,70,?
B4022,32,84,58,70,?
B4023,11,65,66,50,?
B4024,14,57,49,42,?
B4025,20,54,51,67,?
B4026,24,32,69,54,?
B4027,36,96,54,80,?
B4028,35,30,62,72,?
B4029,11,25,58,66,?
B4030,30,97,59,80,?
B4031,12,41,65,42,?
B4032,11,39,47,42,?
B4033,20,52,40,68,?
B4034,12,40,59,60,?
B4035,39,95,54,74,?
B4036,34,93,43,72,?
B4037,20,38,51,52,?
B4038,39,75,78,64,?
B4039,31,95,52,71,?
B4040,36,34,65,60,?
B4041,39,65,71,67,?
B4042,34,58,80,68,?
B4043,19,80,48,52,?
B4044,39,82,74,66,?
B4045,32,98,49,66,?
B4046,19,79,71,71,?
B4047,33,52,42,60,?
B4048,12,75,55,63,?
B4049,11,46,41,58,?
B4050,14,25,67,45,?
B4051,38,51,55,69,?
B4052,15,76,77,71,?
B4053,32,66,40,71,?
B4054,34,70,43,72,?
B4055,11,28,59,76,?
B4056,20,23,69,48,?
B4057,12,63,65,68,?
B4058,19,69,67,52,?
B4059,32,82,66,73,?
B4060,33,94,44,78,?
B4061,33,35,55,75,?
B4062,20,22,48,75,?
B4063,36,87,53,67,?
B4064,37,73,73,72,?
B4065,19,80,51,79,?
B4066,18,64,75,70,?
B4067,13,20,58,70,?
B4068,20,44,79,41,?
B4069,33,78,53,75,?
B4070,36,89,74,75,?
B4071,31,43,64,69,?
B4072,32,96,74,65,?
